Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
3,998028278;1,080139;-2,101671;3,375991;-0,9254224;0,3449129;-0,05054788;45,27827;7,590391;8,153692;1006,247
4,018283844;0,3374346;-1,211175;3,681741;-0,9325729;0,3718841;-0,1557798;45,27827;7,590391;8,153692;1006,247
4,03853941;-0,09580953;-0,4394122;4,048642;-0,9228316;0,3457549;-0,155155;44,90918;7,594344;8,098275;1006,249
4,058795452;0,2136506;-0,7362441;4,598992;-0,9151614;0,3506354;-0,1238641;44,90918;7,594344;8,098275;1006,249
4,079051018;0,08986653;0,2136182;5,088193;-0,8967719;0,3525717;-0,1293429;44,90918;7,594344;8,098275;1006,249
4,119562149;-0,5909457;0,4510838;4,965893;-0,87534;0,3984696;-0,2004866;45,64591;7,954321;8,143166;1006,249
4,139814377;-0,5909457;0,3917174;3,559441;-0,8801168;0,4241272;-0,1924928;45,65554;7,587784;8,525449;1006,249
4,160070419;-0,9622978;-0,02384736;1,908389;-0,8763571;0,435248;-0,2020716;45,65554;7,587784;8,525449;1006,247
4,17779398;-0,4671616;-0,4394122;0,3184861;-0,8855768;0,4110458;-0,2026746;45,65554;7,587784;8,525449;1006,247
4,198049545;-0,03391751;-0,9737096;-0,4764651;-0,8960955;0,3916986;-0,1902068;45,65554;7,587784;8,525449;1006,249
4,218305588;-0,03391751;-0,9737096;-0,6599154;-0,9040082;0,364626;-0,1638592;45,65554;7,587784;8,525449;1006,249
